customer_id,article_id recommendations
00000dbacae5abe5e23885899a1fa44253a17956c6d1c3d25f88aa139fdfc657,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,0916468003 0918725001 0783707096 0879242006 0807244004 0621381016 0906639003 0909920001 0944241001 0867141003 0862693002 0688105002
00005ca1c9ed5f5146b52ac8639a40ca9d57aeff4d1bd2c5feb1ca5dff07c43e,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
000064249685c11552da43ef22a5030f35a147f723d5b02ddd9fd22452b1f5a6,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
0000757967448a6cb83efb3ea7a3fb9d418ac7adf2379d8cd0c725276a467a2a,0916468003 0918725001 0783707096 0879242006 0807244004 0621381016 0906639003 0909920001 0944241001 0867141003 0862693002 0688105002
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
00007e8d4e54114b5b2a9b51586325a8d0fa74ea23ef77334eaec4ffccd7ebcc,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
00008469a21b50b3d147c97135e25b4201a8c58997f78782a0cc706645e14493,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
0000945f66de1a11d9447609b8b41b1bc987ba185a5496ae8831e8493afa24ff,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
000097d91384a0c14893c09ed047a963c4fc6a5c021044eec603b323e8c82d1d,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,0924243002 0924243001 0918522001 0751471001 0866731001 0448509014 0923758001 0714790020 0915529003 0915529005 0762846027 0918292001
